date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Apr 2,home,Laney,W,17-7,17,7,10,win,20150402_23ec,5,1.0,3.0,2.0,,,3.0,,2.0,,,,,,5,2,,,,,5,2015,2014-15,Marin,marin,jeffvillafanawt0c,Jeff Villafana
Apr 3,home,Laney,W,2-0,2,0,2,win,20150403_m663,3,0.0,0.0,,,,0.0,,1.0,,,,,1.0,0,0,,3.0,,,4,2015,2014-15,Marin,marin,jeffvillafanawt0c,Jeff Villafana
Apr 8,home,Yuba,L,4-2,4,2,2,win,20150408_nsce,4,0.0,1.0,,,,0.0,,,,,,,,1,0,,1.0,2.0,0.5,4,2015,2014-15,Marin,marin,jeffvillafanawt0c,Jeff Villafana
Apr 9,home,Folsom Lake,W,5-4,5,4,1,win,20150409_3jrk,1,0.0,1.0,,,,0.0,,,,,,,,1,0,,,,,1,2015,2014-15,Marin,marin,jeffvillafanawt0c,Jeff Villafana
Apr 14,home,Contra Costa,W,8-5,8,5,3,win,20150414_58ab,2,0.0,0.0,,,,1.0,1.0,1.0,,,,1.0,,0,0,,,2.0,,4,2015,2014-15,Marin,marin,jeffvillafanawt0c,Jeff Villafana
Apr 16,home,Solano,W,16-8,16,8,8,win,20150416_md7r,5,1.0,1.0,,,,1.0,,1.0,,,1.0,,,1,0,,2.0,1.0,2.0,6,2015,2014-15,Marin,marin,jeffvillafanawt0c,Jeff Villafana
Apr 18,home,Napa,W,8-3,8,3,5,win,20150418_czj8,4,0.0,1.0,,,,1.0,,,,,,,,1,0,1.0,3.0,,,4,2015,2014-15,Marin,marin,jeffvillafanawt0c,Jeff Villafana
Apr 21,home,Los Medanos,L,5-4,5,4,1,win,20150421_fvvy,6,0.0,2.0,,,,0.0,,2.0,,,,,,2,0,,1.0,1.0,1.0,6,2015,2014-15,Marin,marin,jeffvillafanawt0c,Jeff Villafana
Apr 23,home,Mendocino,W,17-12,17,12,5,win,20150423_ovej,5,1.0,1.0,,,,0.0,,2.0,,,1.0,,,1,0,,,1.0,,6,2015,2014-15,Marin,marin,jeffvillafanawt0c,Jeff Villafana
Apr 24,home,Laney,W,9-2,9,2,7,win,20150424_v800,2,2.0,1.0,,,,0.0,,,,,2.0,,,1,0,1.0,1.0,,,4,2015,2014-15,Marin,marin,jeffvillafanawt0c,Jeff Villafana
