date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Jan 21  #,home,Fullerton,,,,,7,win,,,,,,,,,,,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Jan 22  #,home,Citrus,,,,,7,win,,,,,,,,,,,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Jan 27,home,Santa Barbara,L,7-3,7.0,3.0,4,win,20220127_qig7,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Jan 29,home,Santa Barbara,L,5-4,5.0,4.0,1,win,,,,,,,,,,,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Feb 1,home,Long Beach,W,4-3,4.0,3.0,1,win,,,,,,,,,,,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Feb 3,home,Riverside,L,11-0,11.0,0.0,11,win,20220203_15gd,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Feb 5,home,Saddleback,L,8-5,8.0,5.0,3,win,,,,,,,,,,,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Feb 8,home,Southwestern,L,6-5,6.0,5.0,1,win,,,,,,,,,,,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Feb 10,home,El Camino,W,6-4,6.0,4.0,2,win,20220210_l1ku,0.0,0.0,0.0,0.0,0.1,1.0,,,0.0,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Feb 11,home,Fullerton,L,15-11,15.0,11.0,4,win,20220211_sfjn,0.0,0.0,0.0,0.0,1.0,,,,0.0,1.0,1.0,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Feb 12,home,Cypress,W,4-1,4.0,1.0,3,win,,,,,,,,,,,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Feb 15,home,Fullerton,L,9-2,9.0,2.0,7,win,20220215_kv8n,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Feb 16,home,Irvine Valley,L,9-7,9.0,7.0,2,win,,,,,,,,,,,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Feb 18,home,El Camino,W,9-8,9.0,8.0,1,win,20220218_wkxm,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Feb 19,home,Southwestern,L,10-2,10.0,2.0,8,win,,,,,,,,,,,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Feb 24,home,Irvine Valley,W,3-1,3.0,1.0,2,win,,,,,,,,,,,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Feb 25,home,Glendale,L,9-0,9.0,0.0,9,win,20220225_qkow,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Feb 26,home,Mt. San Jacinto,W,10-2,10.0,2.0,8,win,20220226_dp9o,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Mar 1,home,Desert,L,9-6,9.0,6.0,3,win,,,,,,,,,,,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Mar 3,home,San Bernardino Valley,L,12-5,12.0,5.0,7,win,,,,,,,,,,,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Mar 5,home,Saddleback,W,6-1,6.0,1.0,5,win,,,,,,,,,,,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Mar 8,home,Cerro Coso,W,16-13,16.0,13.0,3,win,20220308_tlpf,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Mar 12,home,Victor Valley,W,25-2,25.0,2.0,23,win,20220312_2q7l,0.0,0.0,0.0,0.0,1.0,1.0,,,0.0,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Mar 15,home,Mt. San Jacinto,W,11-10,11.0,10.0,1,win,20220315_29l4,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
