date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Feb 8,home,San Joaquin  Delta,L,7-3,7,3,4,win,20120208_ln82,3,0,0,,,,1,1,,,,,,,0,0,1,3,,,4,2012,,Skyline,skyline,justinchapmanyjwn,Justin Chapman
Feb 9,home,Cosumnes River,L,7-1,7,1,6,win,20120209_29iv,2,0,0,,,,0,2,1,,,,,,0,0,,,1,,4,2012,,Skyline,skyline,justinchapmanyjwn,Justin Chapman
Feb 11,home,Cosumnes River,L,7-1,7,1,6,win,20120211_0c0p,2,0,0,,,,0,1,,,,1,,,0,0,1,1,1,1.00,4,2012,,Skyline,skyline,justinchapmanyjwn,Justin Chapman
Feb 14,home,San Joaquin  Delta,L,17-2,17,2,15,win,,,,,,,,,,,,,,,,,,,,,,,2012,,Skyline,skyline,justinchapmanyjwn,Justin Chapman
Feb 17,home,Shasta,L,5-2,5,2,3,win,20120217_h9b6,3,0,1,,,,0,,1,,,,,,1,0,,1,,,3,2012,,Skyline,skyline,justinchapmanyjwn,Justin Chapman
Feb 18,home,Shasta,L,10-0,10,0,10,win,20120218_bt9y,4,0,0,,,,0,,,,,,,,0,0,,3,1,3.00,4,2012,,Skyline,skyline,justinchapmanyjwn,Justin Chapman
Feb 19,home,Shasta,L,9-2,9,2,7,win,20120219_nann,2,0,0,,,,1,,,,,,1,1,0,0,,2,2,1.00,4,2012,,Skyline,skyline,justinchapmanyjwn,Justin Chapman
Feb 21,home,Laney,L,7-1,7,1,6,win,20120221_bv3i,4,0,2,,,,1,,1,1,,,,,2,0,,,1,,4,2012,,Skyline,skyline,justinchapmanyjwn,Justin Chapman
Feb 23,home,Mendocino,W,13-6,13,6,7,win,20120223_csw7,3,1,2,,,,1,,,,,,,1,2,0,,1,,,4,2012,,Skyline,skyline,justinchapmanyjwn,Justin Chapman
Feb 25,home,Mendocino,L,11-3,11,3,8,win,20120224_vkm4,3,0,0,,,,0,,,,,,,1,0,0,,2,2,1.00,4,2012,,Skyline,skyline,justinchapmanyjwn,Justin Chapman
Feb 25,home,Mendocino,W,11-8,11,8,3,win,20120225_coaf,4,1,1,,,,1,1,,1,,,,,1,0,,1,2,0.50,5,2012,,Skyline,skyline,justinchapmanyjwn,Justin Chapman
Feb 28,home,Chabot,L,7-6,7,6,1,win,20120228_1wme,4,1,1,,,,0,1,,,,,,,1,0,,1,2,0.50,5,2012,,Skyline,skyline,justinchapmanyjwn,Justin Chapman
Mar 1,home,Gavilan,L,6-4,6,4,2,win,20120301_9s38,4,2,1,,,,0,,,,,,,,1,0,,,2,,4,2012,,Skyline,skyline,justinchapmanyjwn,Justin Chapman
Mar 2,home,San Francisco,W,8-4,8,4,4,win,20120302_bjva,4,2,2,,,,0,,1,,,,,1,2,0,,2,,,5,2012,,Skyline,skyline,justinchapmanyjwn,Justin Chapman
Mar 6,home,Cabrillo,L,6-1,6,1,5,win,20120306_mf6u,3,0,1,,,,0,,,,,,,1,1,0,,2,,,4,2012,,Skyline,skyline,justinchapmanyjwn,Justin Chapman
Mar 8,home,Monterey,L,7-2,7,2,5,win,20120308_55gk,4,0,0,,,,0,,2,,,,,,0,0,1,2,,,4,2012,,Skyline,skyline,justinchapmanyjwn,Justin Chapman
Mar 10,home,Canada,L,21-5,21,5,16,win,20120310_gvwe,3,0,1,,,,0,1,1,,,,,,1,0,,,,,4,2012,,Skyline,skyline,justinchapmanyjwn,Justin Chapman
