date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Feb 4,home,Ohlone,W,11-0,11,0,11,win,20120204_rmei,1,0,0,,,,1,2,,,,,,,0,0,,,1,,3,2012,2011-12,Sierra,sierra,mikeynantzexvo2,Mikey Nantze
Feb 8,home,Yuba,W,12-4,12,4,8,win,20120208_gfim,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2012,2011-12,Sierra,sierra,mikeynantzexvo2,Mikey Nantze
Feb 10,home,Shasta,L,5-3,5,3,2,win,20120210_8jw9,2,0,1,,,,0,,,,,,,,1,0,,,1,,2,2012,2011-12,Sierra,sierra,mikeynantzexvo2,Mikey Nantze
Feb 11,home,Feather River,W,9-1,9,1,8,win,20120211_rjlp,3,0,0,,,,0,,1,,,,,,0,0,,1,,,3,2012,2011-12,Sierra,sierra,mikeynantzexvo2,Mikey Nantze
Feb 17,home,Reedley,L,2-1,2,1,1,win,20120217_dlv9,2,0,0,,,,0,,,,,,,,0,0,,1,1,1.00,2,2012,2011-12,Sierra,sierra,mikeynantzexvo2,Mikey Nantze
Feb 18,home,Solano,W,8-3,8,3,5,win,20120218_gqnk,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2012,2011-12,Sierra,sierra,mikeynantzexvo2,Mikey Nantze
Feb 23,home,Chabot,L,10-9,10,9,1,win,20120223_scap,2,0,0,,,,0,1,,,,,,,0,0,,2,,,3,2012,2011-12,Sierra,sierra,mikeynantzexvo2,Mikey Nantze
Mar 1,home,Taft,T,8-8,8,8,0,tie,20120301_4hm7,2,0,1,,,,0,,1,,,,,1,1,0,,1,,,3,2012,2011-12,Sierra,sierra,mikeynantzexvo2,Mikey Nantze
Mar 10,home,Diablo Valley,L,12-4,12,4,8,win,20120310_dmj8,3,0,0,,,,0,,,,,,,,0,0,,1,2,0.50,3,2012,2011-12,Sierra,sierra,mikeynantzexvo2,Mikey Nantze
Mar 17,home,Sacramento City,W,4-1,4,1,3,win,20120317_gzlt,3,0,1,,,,0,,,,,,,,1,0,,2,,,3,2012,2011-12,Sierra,sierra,mikeynantzexvo2,Mikey Nantze
Mar 21,home,Sacramento City,L,16-2,16,2,14,win,20120321_bmfe,3,0,1,,,,0,,2,,,,,,1,0,,,,,3,2012,2011-12,Sierra,sierra,mikeynantzexvo2,Mikey Nantze
Mar 22,home,Cosumnes River,L,3-2,3,2,1,win,20120322_blfi,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2012,2011-12,Sierra,sierra,mikeynantzexvo2,Mikey Nantze
Mar 29,home,Modesto,L,6-5,6,5,1,win,20120329_rpih,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2012,2011-12,Sierra,sierra,mikeynantzexvo2,Mikey Nantze
Apr 1,home,Modesto,L,4-3,4,3,1,win,20120401_27in,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2012,2011-12,Sierra,sierra,mikeynantzexvo2,Mikey Nantze
Apr 10,home,San Joaquin  Delta,L,17-8,17,8,9,win,20120410_gkkp,2,1,0,,,,0,1,,,,,,,0,0,,,2,,3,2012,2011-12,Sierra,sierra,mikeynantzexvo2,Mikey Nantze
Apr 21,home,American River,W,9-1,9,1,8,win,20120421_e5a5,1,0,0,,,,0,,,,,,,,0,0,,,,,1,2012,2011-12,Sierra,sierra,mikeynantzexvo2,Mikey Nantze
May 13,home,Fresno City,W,10-6,10,6,4,win,20120513_s5f0,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2012,2011-12,Sierra,sierra,mikeynantzexvo2,Mikey Nantze
