date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 29,home,West Hills Coalinga,L,8-3,8,3,5,win,20150129_mubq,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Jan 29,home,West Hills Coalinga,L,11-10,11,10,1,win,20150129_xu1d,2,0,0,,,,0,,2,,,,,,0,0,,,,,2,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Feb 6,home,Folsom Lake,L,9-6,9,6,3,win,20150206_d87l,2,0,0,,,,0,,,,,,,,0,0,,1,1,1.00,2,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Feb 19,home,Mendocino,L,5-4,5,4,1,win,20150219_9awr,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Feb 20,home,Mendocino,W,8-4,8,4,4,win,20150220_k8wj,1,0,0,,,,0,,,,,,,,0,0,,,1,,1,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Feb 26,home,Feather River,L,11-4,11,4,7,win,20150226_qx38,4,0,0,,,,1,,1,,,,,,0,0,,2,1,2.00,4,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Feb 26,home,Feather River,L,23-3,23,3,20,win,20150226_jplh,2,1,0,,,,0,,1,,,,,,0,0,,,,,2,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Mar 7,home,Shasta,L,6-5,6,5,1,win,20150307_xlxp,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Mar 7,home,Shasta,W,5-4,5,4,1,win,20150307_0ebw,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Mar 13,home,Redwoods,W,3-0,3,0,3,win,20150313_2qyk,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Mar 21,home,Lassen,L,15-6,15,6,9,win,20150321_fg3m,1,3,1,,,,0,2,,,,,,,1,0,,,,,3,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Mar 26,home,Butte,L,21-8,21,8,13,win,20150326_7s2i,2,0,1,,,,0,,1,,,,,,1,0,,,,,2,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Mar 28,home,Butte,L,10-1,10,1,9,win,20150328_43uk,2,1,1,,,,0,1,,,,1,,,1,0,,,1,,4,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Apr 3,home,Feather River,L,5-2,5,2,3,win,20150403_02cw,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Apr 3,home,Feather River,L,9-0,9,0,9,win,20150403_iwlx,1,0,0,,,,0,2,,,,,,,0,0,,,,,3,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Apr 9,home,Shasta,W,6-5,6,5,1,win,20150409_zgpd,0,1,0,,,,0,,,,,,,,0,0,,,,,0,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Apr 18,home,Lassen,W,5-3,5,3,2,win,20150418_4k3u,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Apr 18,home,Lassen,L,14-4,14,4,10,win,20150418_dsbv,3,2,2,1,,,0,,,,,,,,3,1,,1,,,3,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Apr 23,home,Butte,L,4-2,4,2,2,win,20150423_ak0b,4,0,2,1,,,1,,1,,,,,,3,1,,1,,,4,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
Apr 23,home,Butte,L,3-2,3,2,1,win,20150423_h1kn,3,0,2,,,,1,,,,,,,,2,0,,,1,,3,2015,2014-15,Siskiyous,siskiyous,marcusjonesrs4a,Marcus Jones
