date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 24,home,Cerro Coso,L,13-1,13,1,12,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Jan 25,home,Cerro Coso,W,10-7,10,7,3,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Jan 28,home,Santa Rosa,L,12-1,12,1,11,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Feb 1,home,Santa Rosa,L,38-1,38,1,37,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Feb 4,home,Sierra,L,20-2,20,2,18,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Feb 6,home,San Mateo,L,11-1,11,1,10,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Feb 8,home,San Mateo,L,6-3,6,3,3,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Feb 14,home,San Mateo,L,16-3,16,3,13,win,20200214_dsfb,2,0,1,1,,,0,,,,,,,,2,1,,,1,,2,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Feb 15,home,Sierra,L,18-1,18,1,17,win,20200215_wrna,2,1,1,,,,0,,1,2,,,,,1,0,,,,,2,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Feb 18,home,San Joaquin Delta,L,19-1,19,1,18,win,20200218_mc1h,3,0,1,,,,0,1,,,1,,,,1,0,,1,1,1.00,4,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Feb 21,home,Sacramento City,L,11-1,11,1,10,win,20200221_2y9u,2,0,1,1,,,0,,1,,,,,,2,1,,,,,2,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Feb 22,home,Sacramento City,L,20-3,20,3,17,win,20200222_3bb4,4,1,1,,,,1,,1,,,,1,,1,0,,1,2,0.50,5,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Feb 25,home,Canada,L,8-6,8,6,2,win,20200225_5rlj,4,1,2,,,,1,,,,,1,,,2,0,,,2,,5,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Feb 27,home,Skyline,L,16-1,16,1,15,win,20200227_gpv4,3,0,0,,,,0,,2,,,1,,,0,0,,,1,,4,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Mar 3,home,Mission,L,14-1,14,1,13,win,20200303_00v9,4,0,2,,,,0,,,1,,,,,2,0,,1,1,1.00,4,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Mar 5,home,Mission,L,10-3,10,3,7,win,20200305_pca5,2,0,0,,,,1,,,,,,,,0,0,,1,1,1.00,2,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Mar 7,home,Mission,L,12-0,12,0,12,win,20200307_xmxd,4,0,0,,,,0,,1,,,,,,0,0,,2,1,2.00,4,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Mar 10,home,Monterey Peninsula,L,11-2,11,2,9,win,20200310_64lp,4,0,0,,,,0,,2,,,,,,0,0,,2,,,4,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Mar 12,home,Monterey Peninsula,L,3-2,3,2,1,win,20200312_ol22,2,2,0,,,,0,1,1,,,1,,,0,0,,,1,,4,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Mar 14,home,Monterey Peninsula,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Mar 17,home,Gavilan,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Mar 19,home,Gavilan,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Mar 21,home,Gavilan,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Mar 24,home,West Valley,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Mar 26,home,Chabot,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Mar 28,home,San Mateo,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Mar 31,home,Ohlone,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Apr 2,home,Ohlone,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Apr 4,home,Ohlone,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Apr 7,home,Cabrillo,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Apr 9,home,Cabrillo,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Apr 11,home,Cabrillo,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Apr 14,home,Hartnell,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Apr 16,home,Hartnell,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Apr 18,home,Hartnell,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Apr 21,home,Modesto,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
Apr 23,home,Modesto,,,,,1,win,,,,,,,,,,,,,,,,,,,,,,,2020,,De Anza,deanza,alexwooy4tl,Alex Woo
