date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 24,home,Cerritos,L,7-0,7,0,7,win,20200124_m2k2,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2020,2019-20,Fullerton,fullerton,marcomalerbaponx,Marco Malerba
Jan 28,home,Mt. San Antonio,L,9-1,9,1,8,win,20200128_fkas,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2020,2019-20,Fullerton,fullerton,marcomalerbaponx,Marco Malerba
Jan 30,home,Mt. San Jacinto,W,7-5,7,5,2,win,20200130_u1vx,3,0,0,,,,0,,2,,,,,,0,0,,,1,,3,2020,2019-20,Fullerton,fullerton,marcomalerbaponx,Marco Malerba
Jan 31,home,Moorpark,L,6-4,6,4,2,win,20200131_7j9z,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2020,2019-20,Fullerton,fullerton,marcomalerbaponx,Marco Malerba
Feb 1,home,Palomar,L,15-11,15,11,4,win,20200201_9k63,0,1,0,,,,1,1,,,,,,,0,0,,,,,1,2020,2019-20,Fullerton,fullerton,marcomalerbaponx,Marco Malerba
Feb 4,home,Southwestern,L,4-2,4,2,2,win,20200204_vnwk,0,0,0,,,,0,1,,,,,,,0,0,,,,,1,2020,2019-20,Fullerton,fullerton,marcomalerbaponx,Marco Malerba
Feb 6,home,Ventura,W,10-6,10,6,4,win,20200206_3bqf,4,0,1,,,,1,,,,,,,,1,0,,2,1,2.00,4,2020,2019-20,Fullerton,fullerton,marcomalerbaponx,Marco Malerba
Feb 7,home,Compton,W,11-6,11,6,5,win,20200207_d3hh,1,0,0,,,,0,,,,,1,,,0,0,,,1,,2,2020,2019-20,Fullerton,fullerton,marcomalerbaponx,Marco Malerba
Feb 8,home,Palomar,W,7-6,7,6,1,win,20200208_0l62,3,0,1,1,,,0,1,1,,,,,,2,1,,,1,,4,2020,2019-20,Fullerton,fullerton,marcomalerbaponx,Marco Malerba
Feb 13,home,Moorpark,L,11-10,11,10,1,win,20200213_2bpx,1,0,1,,,,0,,,,,,,,1,0,,,,,1,2020,2019-20,Fullerton,fullerton,marcomalerbaponx,Marco Malerba
Feb 15,home,San Diego Mesa,L,11-3,11,3,8,win,20200215_8tu3,1,0,0,,,,0,,,,,,,,0,0,,,1,,1,2020,2019-20,Fullerton,fullerton,marcomalerbaponx,Marco Malerba
Feb 25,home,Santa Barbara,L,14-7,14,7,7,win,20200225_iy5x,1,0,0,,,,0,,,,,,,,0,0,,,1,,1,2020,2019-20,Fullerton,fullerton,marcomalerbaponx,Marco Malerba
Feb 28,home,West LA,W,11-5,11,5,6,win,20200228_cjm1,3,0,0,,,,0,,1,,,,,,0,0,,1,1,1.00,3,2020,2019-20,Fullerton,fullerton,marcomalerbaponx,Marco Malerba
Mar 3,home,Cypress,L,16-2,16,2,14,win,20200303_s3xa,1,0,1,,1,,1,,,,,,,,3,1,,,,,1,2020,2019-20,Fullerton,fullerton,marcomalerbaponx,Marco Malerba
Mar 5,home,Cypress,L,14-3,14,3,11,win,20200305_0o5c,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2020,2019-20,Fullerton,fullerton,marcomalerbaponx,Marco Malerba
Mar 7,home,Cypress,L,12-1,12,1,11,win,20200307_1rdd,1,0,0,,,,0,,,,,,,,0,0,,,1,,1,2020,2019-20,Fullerton,fullerton,marcomalerbaponx,Marco Malerba
Mar 9,home,Golden West,L,5-1,5,1,4,win,20200309_ga3g,1,0,1,,,,0,,,,,,,,1,0,,,,,1,2020,2019-20,Fullerton,fullerton,marcomalerbaponx,Marco Malerba
