date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Feb 12,home,Victor Valley,W,10-9,10,9,1,win,20220212_rxtp,2,0,0,,,,0,,1,,,1,,,0,0,,,1,,3,2022,,Cerritos,cerritos,delvangomezyn0b,Delvan Gomez
Feb 26,home,LA Harbor,L,9-4,9,4,5,win,20220226_908p,2,0,1,,,,1,,,,,,,,1,0,,,1,,2,2022,,Cerritos,cerritos,delvangomezyn0b,Delvan Gomez
Mar 1,home,East Los Angeles,L,6-4,6,4,2,win,20220301_lqjb,3,0,0,,,,0,1,2,,,,,,0,0,,,1,,4,2022,,Cerritos,cerritos,delvangomezyn0b,Delvan Gomez
Mar 8,home,Compton,W,8-1,8,1,7,win,20220308_ckp8,2,2,1,,,,0,,,,,2,,,1,0,,1,,,4,2022,,Cerritos,cerritos,delvangomezyn0b,Delvan Gomez
Mar 12,home,Compton,L,6-4,6,4,2,win,20220312_nugc,3,0,1,,,,1,,1,,,,1,,1,0,,,2,,4,2022,,Cerritos,cerritos,delvangomezyn0b,Delvan Gomez
Mar 19,home,El Camino,W,5-3,5,3,2,win,20220319_3t25,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2022,,Cerritos,cerritos,delvangomezyn0b,Delvan Gomez
Mar 24,home,Mt. San Antonio,L,25-7,25,7,18,win,20220324_y23j,1,0,0,,,,0,,,,,1,,,0,0,,1,,,2,2022,,Cerritos,cerritos,delvangomezyn0b,Delvan Gomez
Mar 31,home,Long Beach,L,7-4,7,4,3,win,20220331_3ape,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2022,,Cerritos,cerritos,delvangomezyn0b,Delvan Gomez
Apr 13,home,Cuesta,L,13-5,13,5,8,win,20220413_syhj,1,1,1,,,,0,,,,,1,,,1,0,,,,,2,2022,,Cerritos,cerritos,delvangomezyn0b,Delvan Gomez
Apr 26,home,Pasadena City,L,6-0,6,0,6,win,20220426_yvss,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2022,,Cerritos,cerritos,delvangomezyn0b,Delvan Gomez
Apr 29,home,Pasadena City,W,4-0,4,0,4,win,20220429_gmk4,4,1,1,,1,,2,,1,,,,,,3,1,,1,1,1.00,4,2022,,Cerritos,cerritos,delvangomezyn0b,Delvan Gomez
