date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 28,home,Fresno City,L,3-1,3,1,2,win,20220128_h76y,3,0,0,,,,0,1,,1,,,,,0,0,,2,1,2.00,4,2022,2021-22,Skyline,skyline,treyzahursky3zur,Trey Zahursky
Feb 3,home,Butte,W,15-4,15,4,11,win,20220203_97ih,4,2,1,,,,1,,1,,,1,,,1,0,,1,1,1.00,5,2022,2021-22,Skyline,skyline,treyzahursky3zur,Trey Zahursky
Feb 4,home,Butte,W,18-6,18,6,12,win,20220204_opya,2,2,2,,,1,3,,,,,1,,,5,1,,,,,3,2022,2021-22,Skyline,skyline,treyzahursky3zur,Trey Zahursky
Feb 5,home,Butte,W,7-0,7,0,7,win,20220205_oow2,2,1,1,,,,2,,,,,,,,1,0,,,1,,2,2022,2021-22,Skyline,skyline,treyzahursky3zur,Trey Zahursky
Feb 8,home,Solano,W,16-2,16,2,14,win,20220208_ebd6,3,2,1,,,,1,1,1,1,,,,,1,0,,,,,4,2022,2021-22,Skyline,skyline,treyzahursky3zur,Trey Zahursky
Feb 10,home,Shasta,W,13-0,13,0,13,win,20220210_x36w,2,0,1,1,,,1,2,,,,1,,,2,1,,,1,,5,2022,2021-22,Skyline,skyline,treyzahursky3zur,Trey Zahursky
Feb 12,home,Shasta,W,10-6,10,6,4,win,20220212_5txq,3,2,1,,,,1,1,,,,,1,,1,0,,1,2,0.50,5,2022,2021-22,Skyline,skyline,treyzahursky3zur,Trey Zahursky
Feb 15,home,Solano,W,4-3,4,3,1,win,20220215_gvjh,4,1,0,,,,0,,1,,,,,,0,0,,2,,,4,2022,2021-22,Skyline,skyline,treyzahursky3zur,Trey Zahursky
Feb 17,home,Lassen,W,6-3,6,3,3,win,20220217_dorw,4,0,1,,,,0,,2,,,,,,1,0,,,1,,4,2022,2021-22,Skyline,skyline,treyzahursky3zur,Trey Zahursky
Feb 18,home,Lassen,L,2-1,2,1,1,win,20220218_u0xa,2,0,0,,,,0,,,,,,,,0,0,,2,,,2,2022,2021-22,Skyline,skyline,treyzahursky3zur,Trey Zahursky
Mar 5,home,De Anza,W,7-3,7,3,4,win,20220305_4bf5,4,2,1,,,,0,,1,,,1,,,1,0,,,2,,5,2022,2021-22,Skyline,skyline,treyzahursky3zur,Trey Zahursky
Mar 10,home,Canada,W,7-3,7,3,4,win,20220310_tik7,4,1,2,,,,0,,1,1,,,,,2,0,1,1,,,4,2022,2021-22,Skyline,skyline,treyzahursky3zur,Trey Zahursky
Mar 15,home,West Valley,L,4-2,4,2,2,win,20220315_ah0i,2,0,0,,,,0,,,,,,,,0,0,,,2,,2,2022,2021-22,Skyline,skyline,treyzahursky3zur,Trey Zahursky
Mar 17,home,San Francisco,W,18-5,18,5,13,win,20220317_bio1,5,2,3,,1,,4,,,,,,,,5,1,,1,1,1.00,5,2022,2021-22,Skyline,skyline,treyzahursky3zur,Trey Zahursky
Mar 18,home,San Francisco,W,11-0,11,0,11,win,20220318_a7dm,4,2,2,,,,0,,,1,,,,,2,0,,1,1,1.00,4,2022,2021-22,Skyline,skyline,treyzahursky3zur,Trey Zahursky
Mar 22,home,San Mateo,L,5-2,5,2,3,win,20220322_bblw,4,0,0,,,,0,,,,,,,,0,0,,4,,,4,2022,2021-22,Skyline,skyline,treyzahursky3zur,Trey Zahursky
