date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,Monterey Peninsula,L,6-3,6,3,3,win,20230127_ikr9,4,0,1,1,,,0,,2,,,,,,2,1,,1,,,4,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Jan 29,home,Feather River,W,7-6,7,6,1,win,20230129_fuap,5,1,1,,,,0,,2,,,,,,1,0,,1,1,1.00,5,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Feb 2,home,Mission,W,3-0,3,0,3,win,20230202_omon,2,0,0,,,,0,,2,,,,,,0,0,,,,,2,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Feb 3,home,Feather River,W,2-1,2,1,1,win,20230203_f9zv,3,0,1,1,,,0,,1,,,,,1,2,1,,2,,,4,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Feb 4,home,San Mateo,L,5-3,5,3,2,win,20230204_bmzr,1,0,0,,,,0,,,,,,,,0,0,,,1,,1,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Feb 7,home,San Mateo,L,7-2,7,2,5,win,20230207_l6if,3,0,1,,,,1,,1,,,,,,1,0,,1,,,3,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Feb 10,home,Cypress,L,13-2,13,2,11,win,20230210_brje,3,0,0,,,,0,,2,,,,,,0,0,,1,,,3,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Feb 11,home,Pasadena City,W,12-8,12,8,4,win,20230211_pxzw,3,1,0,,,,0,1,1,,,,,1,0,0,,2,1,2.00,5,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Feb 16,home,Cosumnes River,W,4-3,4,3,1,win,20230216_gp6t,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Feb 18,home,Cosumnes River,L,24-15,24,15,9,win,20230218_ggik,1,0,0,,,,0,,,,,,,,0,0,,,1,,1,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Feb 21,home,Reedley,W,10-2,10,2,8,win,20230221_s0ox,4,0,1,,,,0,1,2,,,,,,1,0,,1,,,5,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Feb 22,home,Reedley,L,4-2,4,2,2,win,20230222_gz5q,3,0,0,,,,0,,1,,,,,,0,0,,1,1,1.00,3,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Mar 2,home,Sequoias,L,4-3,4,3,1,win,20230302_ddxe,3,0,1,,1,,1,,,,,,,,3,1,,1,1,1.00,3,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Mar 3,home,Sequoias,W,10-8,10,8,2,win,20230303_nx25,3,0,0,,,,0,1,,,,,1,,0,0,,2,2,1.00,5,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Mar 4,home,Sequoias,L,10-8,10,8,2,win,20230304_4o1o,3,1,0,,,,1,2,1,,,,1,,0,0,,1,2,0.50,6,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Mar 7,home,Porterville,W,17-3,17,3,14,win,20230307_zs9m,2,1,0,,,,0,1,2,,,,,,0,0,,,,,3,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Mar 16,home,Fresno City,L,7-2,7,2,5,win,20230316_44hv,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,,1,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Mar 18,home,Fresno City,W,9-8,9,8,1,win,20230318_2lyc,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Mar 23,home,Taft,L,11-2,11,2,9,win,20230323_cqas,0,0,0,,,,0,1,,,,,,,0,0,,,,,1,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Mar 26,home,Taft,W,13-4,13,4,9,win,20230326_w1hp,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Mar 28,home,West Hills Coalinga,W,14-5,14,5,9,win,20230328_mxn2,1,0,0,,,,0,,,,,,,,0,0,,,1,,1,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Apr 5,home,Canyons,L,16-13,16,13,3,win,20230405_gtxw,3,3,1,1,,,1,1,2,,,1,,,2,1,,,,,5,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Apr 18,home,Porterville,W,15-8,15,8,7,win,20230418_nz7m,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
Apr 25,home,Taft,W,12-7,12,7,5,win,20230425_po3x,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,Merced,merced,aidenmunoz33nm,Aiden Munoz
