date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,Mission,L,11-2,11,2,9,win,20230127_s7sp,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Jan 30,home,Butte,L,16-9,16,9,7,win,20230130_lvul,6,0,2,,,,2,,2,,,,,,2,0,,1,1,1.00,6,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Feb 4,home,Lassen,L,9-8,9,8,1,win,20230204_g310,1,0,1,,,,2,,,,,,,2,1,0,,2,,,3,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Feb 13,home,Lassen,L,13-5,13,5,8,win,20230213_9tgx,1,0,0,,,,0,,,,,,,,0,0,,,1,,1,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Feb 16,home,Folsom Lake,L,9-5,9,5,4,win,20230216_rsse,5,1,2,,,,0,,3,1,,,,,2,0,,,,,5,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Feb 17,home,Sierra,L,16-0,16,0,16,win,20230217_kwwh,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Feb 25,home,Monterey Peninsula,L,13-5,13,5,8,win,20230225_iqkn,4,1,1,1,,,0,1,1,,,,,,2,1,,2,,,5,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Feb 25,home,Monterey Peninsula,L,6-0,6,0,6,win,20230225_zair,3,0,1,,,,0,1,,1,1,,,,1,0,,1,1,1.00,4,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Mar 3,home,Napa Valley,W,6-5,6,5,1,win,20230303_basq,5,1,1,1,,,1,,2,,,,,,2,1,,,2,,5,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Mar 16,home,Solano,W,6-5,6,5,1,win,20230316_br5q,5,1,1,1,,,0,,2,,,,,,2,1,,1,1,1.00,5,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Mar 16,home,Solano,L,13-6,13,6,7,win,20230316_ol7t,4,0,1,,,,0,,,,,,,,1,0,,1,2,0.50,4,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Mar 23,home,Los Medanos,L,16-2,16,2,14,win,20230323_dnba,4,0,0,,,,0,,1,,,,,,0,0,,3,,,4,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Mar 24,home,Los Medanos,W,2-1,2,1,1,win,20230324_znna,4,1,2,,,,0,,,,,,,,2,0,,1,1,1.00,4,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Mar 24,home,Los Medanos,L,9-3,9,3,6,win,20230324_u92d,3,1,1,,,,0,2,1,,,,,,1,0,,,,,5,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Mar 27,home,Laney,L,7-4,7,4,3,win,20230327_0ceq,4,1,1,,,,0,1,1,,,,,,1,0,,,1,,5,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Mar 30,home,Laney,L,11-2,11,2,9,win,20230330_hgm0,3,0,0,,,,0,,1,,,1,,,0,0,,1,1,1.00,4,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Apr 1,home,Laney,L,7-4,7,4,3,win,20230401_rfbk,1,0,0,,,,1,,,,,2,,,0,0,,1,,,3,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Apr 4,home,Mendocino,L,9-2,9,2,7,win,20230404_68h8,1,1,1,,,,0,1,,,1,2,,,1,0,,,,,4,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Apr 6,home,Mendocino,L,10-6,10,6,4,win,20230406_90cx,5,1,2,,,,1,,,,,,,,2,0,,1,2,0.50,5,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
Apr 7,home,Mendocino,W,7-3,7,3,4,win,20230407_woh2,4,2,2,,,1,1,,1,1,,1,,,5,1,,,1,,5,2023,2022-23,Yuba,yuba,anthonymartinez9kfz,Anthony Martinez
