date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,LA Mission,L,11-4,11,4,7,win,20230127_xbyv,1,1,0,,,,0,2,,2,,1,,,0,0,,1,,,4,2023,2022-23,San Bernardino Valley,sanbernardinovalley,cyrobertsonc8ut,Cy Robertson
Jan 28,home,LA Mission,W,10-4,10,4,6,win,20230128_np72,4,0,2,1,,,4,,,,1,,,,3,1,,1,1,1.00,4,2023,2022-23,San Bernardino Valley,sanbernardinovalley,cyrobertsonc8ut,Cy Robertson
Jan 31,home,Mt. San Antonio,L,8-2,8,2,6,win,20230131_tf7i,1,0,0,,,,0,,,,,,,,0,0,,,1,,1,2023,2022-23,San Bernardino Valley,sanbernardinovalley,cyrobertsonc8ut,Cy Robertson
Feb 2,home,Irvine Valley,L,15-3,15,3,12,win,20230202_h483,3,0,0,,,,0,,1,,,,,,0,0,,1,1,1.00,3,2023,2022-23,San Bernardino Valley,sanbernardinovalley,cyrobertsonc8ut,Cy Robertson
Feb 4,home,Irvine Valley,L,10-3,10,3,7,win,20230204_2m55,3,0,1,,,,0,,2,,,,,,1,0,,,,,3,2023,2022-23,San Bernardino Valley,sanbernardinovalley,cyrobertsonc8ut,Cy Robertson
Feb 7,home,Citrus,W,11-8,11,8,3,win,20230207_5luo,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2023,2022-23,San Bernardino Valley,sanbernardinovalley,cyrobertsonc8ut,Cy Robertson
Feb 10,home,Ohlone,L,19-7,19,7,12,win,20230210_pjh7,2,0,0,,,,0,,1,,,,,,0,0,,1,,,2,2023,2022-23,San Bernardino Valley,sanbernardinovalley,cyrobertsonc8ut,Cy Robertson
Feb 15,home,Rio Hondo,W,6-5,6,5,1,win,20230215_kfus,3,0,1,,,,0,,,,,1,,,1,0,,2,,,4,2023,2022-23,San Bernardino Valley,sanbernardinovalley,cyrobertsonc8ut,Cy Robertson
Feb 16,home,Rio Hondo,L,9-3,9,3,6,win,20230216_c1s2,4,0,2,,,,0,,,,,,,,2,0,,1,1,1.00,4,2023,2022-23,San Bernardino Valley,sanbernardinovalley,cyrobertsonc8ut,Cy Robertson
Feb 17,home,Compton,W,9-5,9,5,4,win,20230217_8tez,3,0,1,,,,0,1,1,1,,,,1,1,0,,2,,,5,2023,2022-23,San Bernardino Valley,sanbernardinovalley,cyrobertsonc8ut,Cy Robertson
Feb 21,home,Citrus,L,9-2,9,2,7,win,20230221_x04j,4,1,1,,,,0,,1,,,,,,1,0,,,2,,4,2023,2022-23,San Bernardino Valley,sanbernardinovalley,cyrobertsonc8ut,Cy Robertson
Feb 22,home,Cypress,L,11-5,11,5,6,win,20230222_cge5,3,0,1,,,,0,1,,,,,,,1,0,,2,,,4,2023,2022-23,San Bernardino Valley,sanbernardinovalley,cyrobertsonc8ut,Cy Robertson
Mar 2,home,Mt. San Jacinto,L,18-2,18,2,16,win,20230302_jmmi,4,0,0,,,,0,,,,,,,,0,0,,2,1,2.00,4,2023,2022-23,San Bernardino Valley,sanbernardinovalley,cyrobertsonc8ut,Cy Robertson
Mar 3,home,Antelope Valley,W,6-3,6,3,3,win,20230303_0zp2,4,2,2,1,,,1,,1,,,,,,3,1,,1,,,4,2023,2022-23,San Bernardino Valley,sanbernardinovalley,cyrobertsonc8ut,Cy Robertson
Mar 4,home,Chaffey,L,6-1,6,1,5,win,20230304_mf3x,3,0,0,,,,0,,2,,,,,,0,0,,,1,,3,2023,2022-23,San Bernardino Valley,sanbernardinovalley,cyrobertsonc8ut,Cy Robertson
