date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,Solano,W,3-2,3,2,1,win,20230127_0hzu,2,0,0,,,,0,1,,,,,,,0,0,,,2,,3,2023,2022-23,Butte,butte,kolbyamaraloxwu,Kolby Amaral
Jan 28,home,Solano,W,8-3,8,3,5,win,20230128_a9u1,3,1,0,,,,0,2,2,,,,,,0,0,,1,,,5,2023,2022-23,Butte,butte,kolbyamaraloxwu,Kolby Amaral
Jan 30,home,Yuba,W,16-9,16,9,7,win,20230130_lvul,1,1,1,,,1,2,,,,,,,,4,1,,,,,1,2023,2022-23,Butte,butte,kolbyamaraloxwu,Kolby Amaral
Feb 2,home,Skyline,L,9-7,9,7,2,win,20230202_wjaf,2,0,0,,,,0,,2,,,,,,0,0,,,,,2,2023,2022-23,Butte,butte,kolbyamaraloxwu,Kolby Amaral
Feb 6,home,Yuba,W,22-1,22,1,21,win,20230206_ezuz,1,0,1,,,,1,,,,,,1,,1,0,,,1,,2,2023,2022-23,Butte,butte,kolbyamaraloxwu,Kolby Amaral
Feb 10,home,West Valley,W,10-2,10,2,8,win,20230210_niq4,0,0,0,,,,0,,,,,1,,,0,0,,,,,1,2023,2022-23,Butte,butte,kolbyamaraloxwu,Kolby Amaral
Feb 11,home,West Valley,W,9-8,9,8,1,win,20230211_sgsj,4,1,2,,,,2,,1,,,,,,2,0,,1,,,4,2023,2022-23,Butte,butte,kolbyamaraloxwu,Kolby Amaral
Feb 14,home,Yuba,W,13-4,13,4,9,win,20230214_tafg,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,Butte,butte,kolbyamaraloxwu,Kolby Amaral
Feb 17,home,American River,W,15-2,15,2,13,win,20230217_c354,4,2,0,,,,0,2,1,,,,,,0,0,,2,1,2.00,6,2023,2022-23,Butte,butte,kolbyamaraloxwu,Kolby Amaral
Mar 3,home,Shasta,W,8-6,8,6,2,win,20230303_v8iq,2,0,0,,,,0,2,,,,,,,0,0,,1,1,1.00,4,2023,2022-23,Butte,butte,kolbyamaraloxwu,Kolby Amaral
Mar 17,home,Lassen,W,7-6,7,6,1,win,20230317_46px,3,1,1,,,,0,,,,,,,,1,0,,1,1,1.00,3,2023,2022-23,Butte,butte,kolbyamaraloxwu,Kolby Amaral
Mar 20,home,Siskiyous,W,14-5,14,5,9,win,20230320_5uv0,0,0,0,,,,1,,,,,1,,,0,0,,,,,1,2023,2022-23,Butte,butte,kolbyamaraloxwu,Kolby Amaral
