date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,Sacramento City,W,1-0,1,0,1,win,20230127_m7ra,3,1,1,,,,0,,1,,,,,,1,0,,,1,,3,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Jan 28,home,Sacramento City,L,14-1,14,1,13,win,20230128_pdo6,2,0,0,,,,0,,,,,,,,0,0,,,2,,2,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Feb 1,home,Mendocino,W,7-4,7,4,3,win,20230201_hy6p,2,0,1,,,,0,,1,,,,,,1,0,,,,,2,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Feb 3,home,Santa Barbara,L,15-2,15,2,13,win,20230203_c038,3,0,0,,,,0,,1,,,,,,0,0,,,2,,3,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Feb 7,home,Santa Rosa,L,9-8,9,8,1,win,20230207_ypm8,3,1,1,,,,2,1,1,1,1,1,,,1,0,,,1,,5,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Feb 9,home,Santa Rosa,W,7-5,7,5,2,win,20230209_mamn,4,1,2,,1,,3,,1,,,,,,4,1,,1,,,4,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Feb 11,home,Contra Costa,W,17-5,17,5,12,win,20230211_68ey,5,2,1,1,,,2,,1,,,1,,,2,1,,1,2,0.50,6,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Feb 14,home,Contra Costa,W,19-5,19,5,14,win,20230214_rofn,7,1,1,,,,1,1,,,,,,,1,0,,,,,8,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Feb 16,home,Shasta,W,4-3,4,3,1,win,20230216_hvf3,4,1,2,,,,0,,,1,,,,,2,0,,,1,,4,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Feb 17,home,Shasta,W,6-2,6,2,4,win,20230217_e2vb,4,1,2,,,1,2,,,,,,,,5,1,,,2,,4,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Feb 18,home,Shasta,W,15-11,15,11,4,win,20230218_les4,3,1,0,,,,1,1,1,,,1,,,0,0,,1,1,1.00,5,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Feb 21,home,Laney,W,4-3,4,3,1,win,20230221_7298,3,0,1,,,,0,2,1,,,,,,1,0,,1,,,5,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Feb 23,home,Laney,L,8-4,8,4,4,win,20230223_075s,3,0,0,,,,0,1,2,,,,,,0,0,,,1,,4,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Feb 25,home,Laney,L,6-5,6,5,1,win,20230225_7lhc,4,1,1,,,,0,1,,,,1,,,1,0,,,2,,6,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Mar 2,home,Mission,W,16-11,16,11,5,win,20230302_ta9v,5,0,2,,,,0,,1,,1,,,,2,0,,1,1,1.00,5,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Mar 3,home,Hartnell,L,10-4,10,4,6,win,20230303_e627,1,0,0,,,,1,1,,,,,1,,0,0,,1,1,1.00,3,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Mar 4,home,Cabrillo,L,13-6,13,6,7,win,20230304_ssei,3,0,1,,,,1,,,,,,,,1,0,,2,,,3,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Mar 7,home,Monterey Peninsula,W,6-2,6,2,4,win,20230307_twne,4,0,1,,,,2,,,,,,,,1,0,,3,,,4,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Mar 8,home,Ohlone,T,4-4,4,4,0,tie,20230308_dvni,5,0,2,1,,,2,,1,,,,,1,3,1,,2,1,2.00,6,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
Mar 11,home,Gavilan,W,2-0,2,0,2,win,20230311_s3l4,3,0,0,,,,0,,,,,,,,0,0,,2,1,2.00,3,2023,2022-23,Canada,canada,lucasherrerajmgi,Lucas Herrera
