date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Feb 3,home,Fresno City,L,9-0,9,0,9,win,20120203_pa81,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Feb 4,home,Fresno City,L,2-0,2,0,2,win,20120204_jt5x,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Feb 14,home,Solano,W,4-2,4,2,2,win,20120214_v9wb,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Mar 17,home,Sierra,L,7-1,7,1,6,win,20120317_8nue,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Mar 17,home,Sierra,L,4-1,4,1,3,win,20120317_gzlt,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Mar 21,home,Sierra,W,16-2,16,2,14,win,20120321_bmfe,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Mar 30,home,San Joaquin  Delta,W,4-3,4,3,1,win,20120330_15wi,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Apr 3,home,American River,W,4-2,4,2,2,win,20120403_721i,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Apr 5,home,American River,W,11-2,11,2,9,win,20120405_jw6n,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Apr 7,home,American River,W,4-3,4,3,1,win,20120407_3mwv,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Apr 14,home,Modesto,W,4-3,4,3,1,win,20120414_ty9k,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Apr 16,home,Modesto,W,8-5,8,5,3,win,20120416_h0z4,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Apr 17,home,Diablo Valley,L,17-1,17,1,16,win,20120417_jev2,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Apr 19,home,Diablo Valley,W,10-9,10,9,1,win,20120419_jyw8,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Apr 20,home,Diablo Valley,L,7-2,7,2,5,win,20120420_tc2l,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Apr 23,home,Modesto,L,12-2,12,2,10,win,20120423_kf7b,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Apr 24,home,Modesto,L,20-11,20,11,9,win,20120424_mk6u,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Apr 26,home,San Joaquin  Delta,L,7-6,7,6,1,win,20120426_y6q5,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
Apr 27,home,Sierra,W,9-3,9,3,6,win,20120427_8p3k,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
May 1,home,Butte,W,10-2,10,2,8,win,20120501_qv6l,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
May 5,home,Feather River,L,13-5,13,5,8,win,20120505_3nur,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
May 6,home,Feather River,L,11-10,11,10,1,win,20120506_y2ds,0,0,0,0,0.0,,,,0.00,,,2012,2011-12,Sacramento City,sacramentocity,julienejones8jgo,Juliene Jones
