date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Jan 26,home,LA Pierce,W,2-1,2,1,1,win,20180126_9p3s,0,0,0,0,0.0,,,,0.00,,,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Jan 27,home,LA Pierce,W,8-6,8,6,2,win,20180127_v7n0,0,0,0,0,0.0,,,,0.00,,,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Jan 28,home,Cabrillo,W,6-1,6,1,5,win,20180128_shg9,0,0,0,0,1.0,,,,0.00,,,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Feb 1,home,Taft,L,11-7,11,7,4,win,20180201_zwgz,0,0,0,0,0.0,,,,0.00,,,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Feb 3,home,LA Pierce,L,13-12,13,12,1,win,20180203_oaaq,0,0,1,0,1.2,3,2,2,10.80,,1,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Feb 8,home,Canyons,L,9-4,9,4,5,win,20180208_py1u,0,0,0,0,0.0,,,,0.00,,,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Feb 9,home,San Diego Mesa,L,7-2,7,2,5,win,20180209_d6d1,0,0,0,0,1.2,1,,,0.00,,2,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Feb 13,home,Canyons,W,8-5,8,5,3,win,20180213_vwqn,1,1,0,0,6.2,5,5,4,5.40,2,6,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Feb 22,home,Cypress,L,16-3,16,3,13,win,20180222_fgez,0,0,0,0,0.0,,,,0.00,,,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Feb 23,home,Irvine Valley,W,11-10,11,10,1,win,20180223_f9hm,1,1,0,0,5.2,8,4,3,4.76,1,3,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Feb 28,home,Taft,W,5-4,5,4,1,win,20180228_0awi,0,0,0,0,0.2,1,,,0.00,,1,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Mar 4,home,Sequoias,L,3-2,3,2,1,win,20180304_mwsw,1,0,0,0,6.0,5,1,1,1.50,1,3,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Mar 9,home,Oxnard,W,6-3,6,3,3,win,20180309_rybs,1,0,0,0,5.0,5,3,1,1.80,3,2,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Mar 16,home,Oxnard,L,6-5,6,5,1,win,20180316_yj92,0,0,0,0,0.0,,,,0.00,,,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Mar 19,home,Moorpark,L,11-8,11,8,3,win,20180319_ayxv,1,0,1,0,3.2,7,8,8,19.64,6,0,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Mar 27,home,East Los Angeles,W,7-4,7,4,3,win,20180327_ovqp,0,0,0,0,0.0,,,,0.00,,,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Mar 28,home,Fresno City,W,9-8,9,8,1,win,20180328_7dxa,1,0,0,0,5.2,7,7,7,11.12,6,5,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Apr 2,home,Cuesta,L,9-6,9,6,3,win,20180402_72xx,0,0,0,0,0.0,,,,0.00,,,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Apr 3,home,Cuesta,W,6-5,6,5,1,win,20180403_6qcm,0,0,0,0,0.0,,,,0.00,,,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Apr 5,home,Santa Barbara,W,8-4,8,4,4,win,20180405_b27x,1,1,0,0,5.0,4,3,2,3.60,5,4,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Apr 7,home,Santa Barbara,L,2-1,2,1,1,win,20180407_uc79,0,0,0,0,0.0,,,,0.00,,,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Apr 10,home,Oxnard,W,14-9,14,9,5,win,20180410_9qql,0,0,0,0,0.0,,,,0.00,,,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Apr 12,home,Oxnard,L,6-2,6,2,4,win,20180412_hxyk,1,0,1,0,5.1,7,5,5,8.44,0,1,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Apr 14,home,Moorpark,L,8-5,8,5,3,win,20180414_dlc5,0,0,0,0,0.0,,,,0.00,,,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
Apr 17,home,Moorpark,W,4-3,4,3,1,win,20180417_whn5,0,0,0,0,0.0,,,,0.00,,,2018,,Allan Hancock,allanhancock,dylanmaidena4qy,Dylan Maiden
