date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
May 7,home,Bakersfield,L,3-0,3,0,3,win,,,,,,,,,,,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
May 6,home,Bakersfield,L,5-2,5,2,3,win,,,,,,,,,,,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
Apr 29,home,El Camino,W,7-4,7,4,3,win,,,,,,,,,,,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
Apr 28,home,El Camino,L,8-3,8,3,5,win,,,,,,,,,,,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
Apr 26,home,El Camino,W,4-2,4,2,2,win,,,,,,,,,,,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
Apr 23,home,LA Harbor,W,7-3,7,3,4,win,,,,,,,,,,,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
Apr 21,home,LA Harbor,W,5-4,5,4,1,win,,,,,,,,,,,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
Apr 19,home,LA Harbor,W,9-3,9,3,6,win,,,,,,,,,,,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
Apr 16,home,Cerritos,W,10-9,10,9,1,win,,,,,,,,,,,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
Apr 14,home,Cerritos,L,8-3,8,3,5,win,20160414_7d2t,0,0,0,0,0.0,,,,0.00,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
Apr 12,home,Cerritos,L,7-5,7,5,2,win,20160412_l74u,0,0,0,0,0.0,,,,0.00,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
Apr 9,home,East Los Angeles,W,3-2,3,2,1,win,20160409_zfhm,0,0,0,0,0.0,,,,0.00,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
Apr 8,home,East Los Angeles,L,8-3,8,3,5,win,20160408_72rp,0,0,0,0,0.0,,,,0.00,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
Apr 5,home,East Los Angeles,L,6-2,6,2,4,win,,,,,,,,,,,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
Apr 2,home,Mt. San Antonio,W,4-2,4,2,2,win,20160402_qrec,0,0,0,0,0.0,,,,0.00,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
Mar 31,home,Mt. San Antonio,W,5-4,5,4,1,win,20160331_vwqu,0,0,0,0,0.0,,,,0.00,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
Mar 29,home,Mt. San Antonio,W,10-0,10,0,10,win,20160329_tomh,0,0,0,0,0.0,,,,0.00,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
Mar 19,home,El Camino-Compton Center,W,6-1,6,1,5,win,,,,,,,,,,,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
Mar 17,home,El Camino-Compton Center,W,10-4,10,4,6,win,,,,,,,,,,,,,,2016,,Long Beach,longbeach,mickeymiladinovichxj95,Mickey Miladinovich
