date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
May 7,home,Bakersfield,L,3-0,3,0,3,win,20160507_5swa,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Long Beach,longbeach,vincentbyrdii4r7g,Vincent Byrd II
May 6,home,Bakersfield,L,5-2,5,2,3,win,20160506_jl39,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Long Beach,longbeach,vincentbyrdii4r7g,Vincent Byrd II
Apr 29,home,El Camino,W,7-4,7,4,3,win,20160429_53oa,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Long Beach,longbeach,vincentbyrdii4r7g,Vincent Byrd II
Apr 28,home,El Camino,L,8-3,8,3,5,win,20160428_d4n0,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Long Beach,longbeach,vincentbyrdii4r7g,Vincent Byrd II
Apr 26,home,El Camino,W,4-2,4,2,2,win,20160426_8lav,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Long Beach,longbeach,vincentbyrdii4r7g,Vincent Byrd II
Apr 23,home,LA Harbor,W,7-3,7,3,4,win,20160423_h2jl,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Long Beach,longbeach,vincentbyrdii4r7g,Vincent Byrd II
Apr 21,home,LA Harbor,W,5-4,5,4,1,win,20160421_yuz9,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Long Beach,longbeach,vincentbyrdii4r7g,Vincent Byrd II
Apr 19,home,LA Harbor,W,9-3,9,3,6,win,20160419_h3pe,0,0,0,0,0.2,,1,,0.00,3,,,2016,2015-16,Long Beach,longbeach,vincentbyrdii4r7g,Vincent Byrd II
Apr 16,home,Cerritos,W,10-9,10,9,1,win,20160416_h2d7,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Long Beach,longbeach,vincentbyrdii4r7g,Vincent Byrd II
Apr 14,home,Cerritos,L,8-3,8,3,5,win,20160414_7d2t,0,0,0,0,0.0,,,,0.00,,,,2016,2015-16,Long Beach,longbeach,vincentbyrdii4r7g,Vincent Byrd II
