date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
May 2,home,TBA,,,,,2,win,,,,,,,,,,,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Apr 28,home,Desert,L,3-1,3,1,2,win,,,,,,,,,,,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Apr 26,home,Desert,W,6-3,6,3,3,win,20220426_pz92,1,0,0,0,5.0,7,3,3,5.40,3,5,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Apr 23,home,Long Beach,L,8-1,8,1,7,win,,,,,,,,,,,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Apr 21,home,Long Beach,L,5-4,5,4,1,win,,,,,,,,,,,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Apr 19,home,Long Beach,L,7-3,7,3,4,win,20220419_57fm,1,0,1,0,5.2,9,7,6,9.53,1,5,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Apr 14,home,Canyons,W,10-9,10,9,1,win,,,,,,,,,,,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Apr 13,home,Merced,L,17-14,17,14,3,win,20220413_g2rr,0,0,0,0,0.0,,,,0.00,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Apr 12,home,Allan Hancock,W,10-9,10,9,1,win,20220412_fk1v,1,0,0,0,2.2,6,7,4,13.50,2,1,1,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Apr 9,home,Mt. San Antonio,L,8-6,8,6,2,win,20220409_0na8,0,0,0,0,0.0,,,,0.00,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Apr 7,home,Mt. San Antonio,L,10-5,10,5,5,win,,,,,,,,,,,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Apr 5,home,Mt. San Antonio,L,3-2,3,2,1,win,20220405_spn8,1,0,1,0,6.0,9,3,3,4.50,1,2,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Apr 2,home,El Camino,L,4-3,4,3,1,win,,,,,,,,,,,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Mar 31,home,El Camino,L,17-4,17,4,13,win,,,,,,,,,,,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Mar 29,home,El Camino,L,5-3,5,3,2,win,20220329_1cgg,1,0,0,0,5.0,8,1,1,1.80,0,1,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Mar 26,home,Compton,W,8-5,8,5,3,win,,,,,,,,,,,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Mar 24,home,Compton,W,5-4,5,4,1,win,,,,,,,,,,,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Mar 22,home,Compton,W,7-1,7,1,6,win,20220322_3led,1,1,0,0,6.2,10,1,1,1.35,2,3,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Mar 19,home,Pasadena City,L,2-1,2,1,1,win,,,,,,,,,,,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Mar 17,home,Pasadena City,W,4-3,4,3,1,win,,,,,,,,,,,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Mar 15,home,Pasadena City,L,8-3,8,3,5,win,20220315_cwnb,1,0,1,0,4.1,11,6,5,10.38,0,0,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Mar 12,home,LA Harbor,W,11-5,11,5,6,win,20220312_me8h,0,0,0,0,0.0,,,,0.00,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Mar 10,home,LA Harbor,W,11-10,11,10,1,win,,,,,,,,,,,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Mar 8,home,LA Harbor,W,11-7,11,7,4,win,20220308_40ox,1,0,0,0,7.0,11,6,5,6.43,1,3,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Mar 5,home,Cerritos,W,9-1,9,1,8,win,,,,,,,,,,,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Mar 3,home,Cerritos,W,3-1,3,1,2,win,,,,,,,,,,,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Mar 1,home,Cerritos,W,6-4,6,4,2,win,20220301_lqjb,1,0,0,0,6.0,5,2,2,3.00,1,4,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Feb 26,home,Rio Hondo,L,9-0,9,0,9,win,,,,,,,,,,,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Feb 24,home,Rio Hondo,L,4-3,4,3,1,win,,,,,,,,,,,,,,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
Feb 22,home,Rio Hondo,W,3-2,3,2,1,win,20220222_d3x0,1,0,0,0,4.0,4,2,2,4.50,1,1,1,2022,,East Los Angeles,eastlosangeles,juliantellezibv8,Julian Tellez
