date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
Apr 21,home,Lassen,W,20-3,20,3,17,win,20230421_3u4c,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Butte,butte,jacksonparmenterqfau,Jackson Parmenter
Apr 11,home,Redwoods,W,7-1,7,1,6,win,20230411_1u8x,0,0,0,0,1.0,1,,,0.00,,,,2023,2022-23,Butte,butte,jacksonparmenterqfau,Jackson Parmenter
Apr 6,home,Shasta,W,22-5,22,5,17,win,20230406_bah4,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Butte,butte,jacksonparmenterqfau,Jackson Parmenter
Mar 25,home,Feather River,L,19-8,19,8,11,win,20230325_srf4,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Butte,butte,jacksonparmenterqfau,Jackson Parmenter
Mar 25,home,Feather River,L,15-3,15,3,12,win,20230325_pt36,0,0,0,0,0.1,3,2,2,54.00,,,,2023,2022-23,Butte,butte,jacksonparmenterqfau,Jackson Parmenter
Mar 17,home,Lassen,W,7-6,7,6,1,win,20230317_46px,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Butte,butte,jacksonparmenterqfau,Jackson Parmenter
Mar 3,home,Shasta,W,11-3,11,3,8,win,20230303_htju,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Butte,butte,jacksonparmenterqfau,Jackson Parmenter
Feb 17,home,American River,W,15-2,15,2,13,win,20230217_c354,0,0,0,0,1.0,,,,0.00,,1,,2023,2022-23,Butte,butte,jacksonparmenterqfau,Jackson Parmenter
Feb 16,home,American River,W,5-0,5,0,5,win,20230216_skew,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Butte,butte,jacksonparmenterqfau,Jackson Parmenter
Feb 14,home,Yuba,W,13-4,13,4,9,win,20230214_tafg,0,0,0,0,2.0,1,,,0.00,,3,,2023,2022-23,Butte,butte,jacksonparmenterqfau,Jackson Parmenter
Feb 6,home,Yuba,W,22-1,22,1,21,win,20230206_ezuz,0,0,0,0,1.0,1,,,0.00,,,,2023,2022-23,Butte,butte,jacksonparmenterqfau,Jackson Parmenter
Feb 3,home,Skyline,L,5-4,5,4,1,win,20230203_7577,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Butte,butte,jacksonparmenterqfau,Jackson Parmenter
Feb 2,home,Skyline,L,9-7,9,7,2,win,20230202_wjaf,0,0,0,0,0.1,,,,0.00,,,,2023,2022-23,Butte,butte,jacksonparmenterqfau,Jackson Parmenter
Jan 30,home,Yuba,W,16-9,16,9,7,win,20230130_lvul,0,0,0,0,1.1,4,2,2,13.50,1,1,,2023,2022-23,Butte,butte,jacksonparmenterqfau,Jackson Parmenter
