date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,cccaa_season,team,team_id,player_id,player_name
May 13,home,Sierra,L,3-2,3,2,1,win,20230513_1l8e,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
May 12,home,Sierra,L,7-0,7,0,7,win,20230512_2d77,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Apr 27,home,American River,W,16-1,16,1,15,win,20230427_2how,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Apr 18,home,Cosumnes River,L,6-3,6,3,3,win,20230418_dawl,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Apr 12,home,Hartnell,W,8-5,8,5,3,win,20230412_8vdn,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Apr 4,home,San Joaquin Delta,L,17-10,17,10,7,win,20230404_xkol,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Mar 31,home,Modesto,L,5-3,5,3,2,win,20230331_2qkb,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Mar 25,home,Santa Rosa,L,7-1,7,1,6,win,20230325_xdpz,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Mar 22,home,Santa Rosa,L,2-1,2,1,1,win,20230322_n8x0,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Mar 9,home,Sierra,L,10-5,10,5,5,win,20230309_9va8,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Mar 8,home,Sierra,W,9-5,9,5,4,win,20230308_mgd0,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Mar 1,home,Folsom Lake,L,13-3,13,3,10,win,20230301_if9g,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Feb 25,home,Fullerton,W,7-2,7,2,5,win,20230225_zvqr,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Feb 25,home,Fullerton,L,8-3,8,3,5,win,20230225_sir1,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Feb 23,home,Fullerton,L,9-3,9,3,6,win,20230223_efxr,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Feb 18,home,Fresno City,L,6-5,6,5,1,win,20230218_57t4,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Feb 17,home,Fresno City,L,6-4,6,4,2,win,20230217_bdy7,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Feb 16,home,Reedley,W,6-5,6,5,1,win,20230216_sajm,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Feb 14,home,West Hills Coalinga,W,10-4,10,4,6,win,20230214_bmc5,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Feb 11,home,Los Medanos,L,8-7,8,7,1,win,20230211_t3o7,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Feb 10,home,Los Medanos,W,25-6,25,6,19,win,20230210_5tlp,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Feb 7,home,West Hills Coalinga,W,11-2,11,2,9,win,20230207_x7v2,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Feb 4,home,Feather River,L,4-1,4,1,3,win,20230204_7pau,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Feb 2,home,Feather River,W,6-3,6,3,3,win,20230202_ci23,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Jan 28,home,Canada,W,14-1,14,1,13,win,20230128_pdo6,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
Jan 27,home,Canada,L,1-0,1,0,1,win,20230127_m7ra,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,Sacramento City,sacramentocity,vinniebachelieroi66,Vinnie Bachelier
